City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
2644210,Liverpool,75,GB,1597839618,88,53.41,-2.98,68.0,13.87
556858,Imeni Babushkina,0,RU,1597839618,41,59.76,43.13,60.49,7.58
1855540,Naze,0,JP,1597839619,83,28.37,129.48,84.2,3.36
2013639,Verkhnevilyuysk,70,RU,1597839619,67,63.45,120.32,53.82,4.38
1519327,Shakhtinsk,40,KZ,1597839619,35,49.71,72.59,69.8,24.61
6180550,Whitehorse,75,CA,1597839592,87,60.72,-135.05,44.01,5.82
1496511,Novy Urengoy,89,RU,1597839619,42,66.08,76.63,71.89,13.18
3374210,São Filipe,51,CV,1597839620,81,14.9,-24.5,78.73,15.64
1524606,Derzhavīnsk,58,KZ,1597839620,41,51.1,66.32,64.38,18.5
2093846,Kiunga,56,PG,1597839620,95,-6.12,141.29,73.98,1.97
608271,Shubarkuduk,21,KZ,1597839620,35,49.14,56.49,70.36,15.26
2422465,Conakry,75,GN,1597839565,79,9.54,-13.68,84.2,9.17
1254046,Tura,28,IN,1597839620,85,25.52,90.22,79.75,4.72
3421719,Narsaq,20,GL,1597839621,62,60.92,-46.05,55.4,3.36
2016307,Solnechnyy,12,RU,1597839621,72,50.72,136.63,51.91,5.79
5924351,Clyde River,40,CA,1597839621,87,70.47,-68.59,50.0,3.36
3580477,West Bay,20,KY,1597839459,83,19.37,-81.42,84.99,6.15
1492566,Severo-Yeniseyskiy,100,RU,1597839473,98,60.37,93.04,57.97,3.15
2236967,Soyo,20,AO,1597839621,69,-6.13,12.37,78.8,6.93
6165406,Thompson,75,CA,1597839350,93,55.74,-97.86,57.2,8.05
935214,Saint-Pierre,90,RE,1597839622,53,-21.34,55.48,77.0,3.36
2388036,Bossangoa,85,CF,1597839622,64,6.49,17.46,86.83,2.8
3347019,Mossamedes,40,AO,1597839622,78,-15.2,12.15,71.6,11.41
609924,Emba,0,KZ,1597839622,32,48.83,58.14,71.06,14.85
